activity_type,cadence,distance,enhanced_altitude,enhanced_speed,fractional_cadence,heart_rate,position_lat,position_long,power,stance_time,stance_time_balance,stance_time_percent,step_length,temperature,vertical_oscillation,vertical_ratio,unknown_107,unknown_134,unknown_135,unknown_136,unknown_140,unknown_143,unknown_87,accumulated_power,unknown_90,power_wkg,hr_rolling,power_rolling,cadence_rolling,speed_rolling,altitude_rolling,vo_rolling,vr_rolling,efficiency_score,efficiency_category
running,77,78.7,15.600000000000023,1.661,0.0,101,156109499,956965976,181,320.0,,,647.0,25,74.6,11.53,1,,75,101,1662,74,10490.0,7321.0,,2.513888888888889,82.03703703703704,1.8829732510288066,62.2037037037037,1.361,15.570370370370373,70.08478260869565,11.48609756097561,0.7931912653882318,Poor
running,77,80.22,15.600000000000023,1.661,0.0,102,156109500,956965786,180,320.0,,,647.0,25,74.6,11.53,1,,75,102,1662,74,10490.0,7501.0,,2.5,82.4,1.8941919191919192,62.472727272727276,1.3664545454545454,15.570909090909094,70.18085106382979,11.487142857142857,0.7978380202931541,Poor
running,77,82.01,15.600000000000023,1.605,0.0,102,156109546,956965574,174,321.0,,,625.0,25,73.3,11.73,1,,75,102,1606,74,10490.0,7675.0,,2.4166666666666665,82.75,1.9035218253968256,62.732142857142854,1.3707142857142858,15.571428571428575,70.24583333333334,11.492790697674419,0.8016918635950521,Average
running,76,83.47,15.600000000000023,1.605,0.5,103,156109591,956965430,174,321.0,,,625.0,26,73.3,11.73,1,,77,103,1606,74,10490.0,7849.0,,2.4166666666666665,83.10526315789474,1.9125243664717348,62.96491228070175,1.3748245614035086,15.571929824561408,70.30816326530612,11.498181818181818,0.805016061650254,Average
running,76,84.77,15.600000000000023,1.624,0.5,103,156109574,956965290,175,321.0,,,632.0,25,73.6,11.64,1,,77,103,1625,74,10482.0,8024.0,,2.4305555555555554,83.44827586206897,1.921455938697318,63.189655172413794,1.3791206896551724,15.572413793103452,70.374,11.501333333333335,0.808325988903314,Average
running,76,86.55,15.600000000000023,1.624,0.0,104,156109560,956965085,175,325.0,,,640.0,25,74.5,11.62,1,,74,104,1625,74,10482.0,8199.0,,2.4305555555555554,83.79661016949153,1.930084745762712,63.40677966101695,1.383271186440678,15.572881355932209,70.45490196078431,11.50391304347826,0.8113591147404604,Average
running,75,88.78,15.600000000000023,1.624,0.0,105,156109624,956964829,174,330.0,,,649.0,25,75.0,11.55,1,,71,105,1625,74,10482.0,8373.0,,2.4166666666666665,84.15,1.9381944444444446,63.6,1.3872833333333332,15.57333333333334,70.54230769230769,11.504893617021278,0.8138190180673841,Average
running,75,90.75,15.600000000000023,1.624,0.0,105,156109662,956964594,173,330.0,,,649.0,25,75.0,11.55,1,,71,105,1625,74,10482.0,8546.0,,2.4027777777777777,84.49180327868852,1.9458105646630237,63.78688524590164,1.3911639344262297,15.573770491803284,70.62641509433962,11.505833333333333,0.8161028011796474,Average
running,75,92.47,15.600000000000023,1.661,0.0,106,156109664,956964433,177,329.0,,,664.0,25,76.0,11.45,1,,66,106,1662,74,10482.0,8723.0,,2.4583333333333335,84.83870967741936,1.9540770609318996,63.96774193548387,1.3955161290322582,15.574193548387102,70.72592592592592,11.50469387755102,0.818532913356138,Average
running,75,94.27,15.600000000000023,1.68,0.0,106,156109599,956964232,179,329.0,,,671.0,25,76.4,11.37,1,,66,106,1681,74,10482.0,8902.0,,2.486111111111111,85.17460317460318,1.9625220458553791,64.14285714285714,1.400031746031746,15.574603174603181,70.82909090909091,11.502,0.8210700695015515,Average
running,73,96.11,15.600000000000023,1.689,0.5,106,156109581,956964058,179,339.0,,,694.0,25,77.8,11.21,1,,66,106,1690,74,10490.0,9081.0,,2.486111111111111,85.5,1.970703125,64.28125,1.404546875,15.575000000000006,70.95357142857144,11.496274509803923,0.8231270971663822,Average
running,73,97.68,15.600000000000023,1.689,0.5,106,156109633,956963836,179,339.0,,,694.0,25,77.8,11.21,1,,66,106,1676,74,10490.0,9260.0,,2.486111111111111,85.81538461538462,1.9786324786324787,64.41538461538461,1.408923076923077,15.575384615384621,71.07368421052631,11.49076923076923,0.8251199342689721,Average
running,74,99.03,15.600000000000023,1.689,0.0,106,156109593,956963687,179,334.0,,,684.0,25,77.2,11.27,1,,66,106,1676,74,10490.0,9439.0,,2.486111111111111,86.12121212121212,1.9863215488215489,64.56060606060606,1.4131666666666667,15.575757575757583,71.17931034482758,11.486603773584905,0.8272456915639046,Average
running,75,101.3,15.399999999999977,1.689,0.0,107,156109597,956963399,178,329.0,,,675.0,26,76.5,11.33,1,,58,107,1676,74,10490.0,9617.0,,2.4722222222222223,86.43283582089552,1.9935737976782755,64.71641791044776,1.4172835820895522,15.573134328358217,71.26949152542372,11.483703703703704,0.829269171197932,Average
running,75,103.57,15.399999999999977,1.689,0.0,107,156109624,956963166,178,329.0,,,675.0,25,76.5,11.33,1,,58,107,1676,74,10490.0,9795.0,,2.4722222222222223,86.73529411764706,2.000612745098039,64.86764705882354,1.421279411764706,15.570588235294125,71.35666666666665,11.480909090909092,0.8312330751127927,Average
running,76,105.77,15.399999999999977,1.708,0.5,108,156109655,956962930,181,324.0,,,674.0,25,76.3,11.32,1,,57,108,1694,74,10482.0,9976.0,,2.513888888888889,87.04347826086956,2.0080515297906603,65.02898550724638,1.4254347826086957,15.568115942028989,71.43770491803278,11.478035714285713,0.8334376007483898,Average
running,76,108.01,15.399999999999977,1.726,0.5,108,156109642,956962746,184,319.0,,,672.0,25,76.0,11.3,1,,57,108,1713,74,9675.0,10160.0,,2.5555555555555554,87.34285714285714,2.015873015873016,65.18571428571428,1.4297285714285715,15.565714285714291,71.51129032258065,11.474912280701755,0.8358256616352788,Average
running,76,110.07,15.399999999999977,1.745,0.5,108,156109616,956962499,186,318.0,,,679.0,25,76.6,11.28,1,,57,108,1731,74,8963.0,10346.0,,2.5833333333333335,87.63380281690141,2.0238654147104853,65.33802816901408,1.4341690140845071,15.563380281690147,71.59206349206349,11.471551724137932,0.8383077662453964,Average
running,76,112.12,15.399999999999977,1.764,0.5,109,156109590,956962265,188,318.0,,,687.0,25,76.9,11.2,1,,56,109,1748,74,8914.0,10534.0,,2.611111111111111,87.93055555555556,2.0320216049382713,65.48611111111111,1.43875,15.561111111111115,71.675,11.466949152542371,0.8407467547064664,Average
running,76,114.19,15.399999999999977,1.782,0.5,109,156109562,956962082,190,318.0,,,694.0,25,77.2,11.13,1,,56,109,1767,74,8914.0,10724.0,,2.638888888888889,88.21917808219177,2.0403348554033487,65.63013698630137,1.4434520547945207,15.558904109589044,71.75999999999999,11.461333333333332,0.8432750424635476,Average
running,76,115.72,15.399999999999977,1.801,0.0,109,156109529,956961898,191,322.0,,,710.0,25,78.5,11.05,1,,56,109,1785,74,8914.0,10915.0,,2.6527777777777777,88.5,2.048611111111111,65.77027027027027,1.4482837837837839,15.55675675675676,71.86212121212121,11.454590163934427,0.8458110888666445,Average
running,76,117.75,15.399999999999977,1.801,0.0,110,156109582,956961643,191,322.0,,,710.0,25,78.5,11.05,1,,58,110,1785,74,8963.0,11106.0,,2.6527777777777777,88.78666666666666,2.0566666666666666,65.90666666666667,1.4529866666666666,15.554666666666671,71.96119402985074,11.448064516129032,0.8481506510264583,Average
running,76,119.51,15.399999999999977,1.81,0.5,110,156109634,956961462,192,317.0,,,705.0,25,78.0,11.07,1,,58,110,1794,74,9316.0,11298.0,,2.6666666666666665,89.0657894736842,2.0646929824561404,66.03947368421052,1.457684210526316,15.552631578947372,72.05,11.442063492063493,0.8505026246242977,Average
running,76,121.5,15.399999999999977,1.819,0.5,110,156109668,956961276,192,317.0,,,708.0,26,78.2,11.03,1,,58,110,1804,74,9675.0,11490.0,,2.6666666666666665,89.33766233766234,2.0725108225108224,66.16883116883118,1.4623766233766236,15.550649350649351,72.13913043478261,11.435625,0.8527921242341944,Average
running,76,123.65,15.399999999999977,1.819,0.5,111,156109728,956961044,192,317.0,,,708.0,25,78.2,11.03,1,,60,111,1804,74,10357.0,11682.0,,2.6666666666666665,89.61538461538461,2.0801282051282053,66.2948717948718,1.466948717948718,15.54871794871795,72.22571428571429,11.429384615384615,0.8548992965123152,Average
running,77,125.57,15.399999999999977,1.829,0.5,111,156109774,956960843,193,312.0,,,703.0,25,77.7,11.05,1,,60,111,1813,74,10848.0,11875.0,,2.6805555555555554,89.88607594936708,2.0877285513361463,66.43037974683544,1.4715316455696204,15.546835443037978,72.30281690140845,11.423636363636364,0.8571875195521833,Average
running,77,127.04,15.399999999999977,1.829,0.5,111,156109763,956960688,193,312.0,,,703.0,25,77.7,11.05,1,,60,111,1813,73,10848.0,12068.0,,2.6805555555555554,90.15,2.095138888888889,66.5625,1.476,15.545000000000002,72.37777777777778,11.418059701492536,0.8594175281423965,Average
running,78,128.85,15.399999999999977,1.829,0.5,111,156109759,956960475,192,312.0,,,703.0,25,77.7,11.05,1,,60,111,1813,73,10848.0,12260.0,,2.6666666666666665,90.4074074074074,2.1021947873799727,66.70370370370371,1.4803580246913581,15.54320987654321,72.45068493150684,11.41264705882353,0.8616807346878173,Average
running,78,130.59,15.600000000000023,1.829,0.5,112,156109815,956960268,193,312.0,,,703.0,25,77.7,11.05,1,,62,112,1813,73,10848.0,12453.0,,2.6805555555555554,90.67073170731707,2.109247967479675,66.84146341463415,1.484609756097561,15.543902439024391,72.52162162162162,11.407391304347826,0.863841299391474,Average
running,77,132.73,15.600000000000023,1.829,0.5,112,156109819,956960060,192,312.0,,,703.0,25,77.7,11.05,1,,62,112,1813,73,10848.0,12645.0,,2.6666666666666665,90.92771084337349,2.1159638554216866,66.96385542168674,1.4887590361445784,15.544578313253016,72.59066666666666,11.402285714285714,0.8657249465154464,Average
running,77,134.31,15.600000000000023,1.829,0.5,113,156109803,956959876,193,316.0,,,712.0,25,78.7,11.04,1,,61,113,1839,73,10357.0,12838.0,,2.6805555555555554,91.19047619047619,2.122685185185185,67.08333333333333,1.4928095238095238,15.545238095238098,72.67105263157895,11.39718309859155,0.8675174803103074,Average
running,77,136.31,15.600000000000023,1.829,0.5,113,156109810,956959637,193,316.0,,,712.0,25,78.7,11.04,1,,61,113,1839,73,9335.0,13031.0,,2.6805555555555554,91.44705882352942,2.129248366013072,67.2,1.4967647058823528,15.545882352941177,72.74935064935065,11.392222222222223,0.8692673118248829,Average
running,77,138.24,15.600000000000023,1.838,0.5,113,156109881,956959419,194,316.0,,,716.0,25,78.8,11.01,1,,61,113,1849,73,9335.0,13225.0,,2.6944444444444446,91.69767441860465,2.1358204134366923,67.31395348837209,1.5007325581395348,15.546511627906979,72.82692307692308,11.386986301369863,0.8710418162556015,Average
running,77,140.41,15.600000000000023,1.838,0.5,113,156109847,956959216,195,316.0,,,716.0,26,78.8,11.01,1,,61,113,1849,73,9335.0,13420.0,,2.7083333333333335,91.94252873563218,2.1424010217113665,67.42528735632185,1.5046091954022989,15.547126436781614,72.90253164556962,11.381891891891891,0.8728399656456277,Average
running,76,142.23,15.600000000000023,1.847,0.5,114,156109845,956959007,197,316.0,,,719.0,25,79.0,10.97,1,,57,114,1858,73,9335.0,13617.0,,2.736111111111111,92.19318181818181,2.149147727272727,67.52272727272727,1.5085,15.547727272727276,72.97875,11.3764,0.8744700409120166,Average
